start load env and run python
Resetting modules to system default
Resetting modules to system default
/cm/local/apps/slurm/var/spool/job1131148/slurm_script: line 17: activate: No such file or directory
/home/harishbabu/.conda/envs/taming3/bin/python
Log dir:  ./runs/001-cub_190_224-depth=9-ep=100
Num classes (k) =  190

Train Epoch 1:   0% 0/89 [00:00<?, ?it/s]
Train Epoch 1:  28% 25/89 [00:24<01:02,  1.03it/s, Batch [26/89], Loss: 5.282, Acc: 0.000]
Train Epoch 1:  29% 26/89 [00:24<01:01,  1.03it/s, Batch [26/89], Loss: 5.282, Acc: 0.000]
Train Epoch 1:  29% 26/89 [00:25<01:01,  1.03it/s, Batch [27/89], Loss: 5.291, Acc: 0.000]
Train Epoch 1:  30% 27/89 [00:25<01:00,  1.03it/s, Batch [27/89], Loss: 5.291, Acc: 0.000]
Train Epoch 1:  30% 27/89 [00:26<01:00,  1.03it/s, Batch [28/89], Loss: 5.285, Acc: 0.000]
Train Epoch 1:  31% 28/89 [00:26<00:58,  1.04it/s, Batch [28/89], Loss: 5.285, Acc: 0.000]
Train Epoch 1:  31% 28/89 [00:27<00:58,  1.04it/s, Batch [29/89], Loss: 5.272, Acc: 0.000]
Train Epoch 1:  33% 29/89 [00:27<00:57,  1.04it/s, Batch [29/89], Loss: 5.272, Acc: 0.000]
Train Epoch 1:  33% 29/89 [00:28<00:57,  1.04it/s, Batch [30/89], Loss: 5.259, Acc: 0.016]
Train Epoch 1:  34% 30/89 [00:28<00:56,  1.04it/s, Batch [30/89], Loss: 5.259, Acc: 0.016]
Train Epoch 1:  34% 30/89 [00:29<00:56,  1.04it/s, Batch [31/89], Loss: 5.228, Acc: 0.016]
Train Epoch 1:  35% 31/89 [00:29<00:55,  1.04it/s, Batch [31/89], Loss: 5.228, Acc: 0.016]
Train Epoch 1:  35% 31/89 [00:30<00:55,  1.04it/s, Batch [32/89], Loss: 5.261, Acc: 0.016]
Train Epoch 1:  36% 32/89 [00:30<00:54,  1.05it/s, Batch [32/89], Loss: 5.261, Acc: 0.016]
